,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Qaanaaq,0,GL,1551300806,81,77.48,-69.36,-28.46,1.06
1,Swan River,56,CA,1551300807,78,52.11,-101.27,-8.93,6.11
2,Vaini,0,IN,1551300807,79,15.34,74.49,13.45,0.86
3,Barrow,80,AR,1551300807,75,-38.31,-60.23,16.47,6.41
4,Provideniya,92,RU,1551300808,92,64.42,-173.23,-0.56,15.21
5,Hamilton,75,BM,1551300351,48,32.3,-64.78,18.0,1.5
6,Vedeno,90,RU,1551297600,93,42.97,46.1,3.0,4.0
7,Rikitea,64,PF,1551300720,100,-23.12,-134.97,26.6,4.36
8,Avarua,0,CK,1551299400,74,-21.21,-159.78,28.0,5.1
9,Barcelona,0,ES,1551300254,93,41.38,2.18,15.0,3.6
10,Takoradi,76,GH,1551300809,95,4.89,-1.75,28.7,3.86
11,Albany,90,US,1551300619,48,42.65,-73.75,-7.78,1.46
12,Hilo,90,US,1551300683,73,19.71,-155.08,21.67,4.6
13,Hithadhoo,24,MV,1551300646,100,-0.6,73.08,27.52,4.01
14,Vestmannaeyjar,48,IS,1551300810,93,63.44,-20.27,4.57,5.21
15,Kodiak,20,US,1551300725,67,39.95,-94.76,-5.0,7.7
16,Port Blair,0,IN,1551300716,100,11.67,92.75,28.2,3.91
17,Jingdezhen,24,CN,1551300814,96,29.29,117.2,3.22,1.41
18,Punta Arenas,75,CL,1551300193,66,-53.16,-70.91,12.0,12.9
19,Lompoc,90,US,1551300699,76,34.64,-120.46,15.56,5.7
20,Castro,0,CL,1551297600,67,-42.48,-73.76,17.0,3.1
21,Ushuaia,75,AR,1551297600,87,-54.81,-68.31,10.0,12.9
22,Trairi,68,BR,1551300815,100,-3.28,-39.27,26.45,2.01
23,Puerto Ayora,75,EC,1551297600,70,-0.74,-90.35,30.0,3.6
24,Cape Town,20,ZA,1551300754,68,-33.93,18.42,19.44,3.1
25,Webster Groves,90,US,1551300631,80,38.59,-90.36,5.56,5.1
26,Nouadhibou,0,MR,1551297600,43,20.93,-17.03,23.0,4.6
27,Mar del Plata,0,AR,1551300710,32,-46.43,-67.52,23.67,0.26
28,Ponta do Sol,36,BR,1551300817,88,-20.63,-46.0,24.05,1.31
29,Hermanus,8,ZA,1551300463,78,-34.42,19.24,18.33,4.02
30,Beringovskiy,88,RU,1551300817,95,63.05,179.32,-2.41,3.41
31,Meulaboh,36,ID,1551300818,100,4.14,96.13,26.37,1.56
32,Hobart,0,AU,1551300674,82,-42.88,147.33,13.33,2.6
33,Udachnyy,64,RU,1551300818,70,66.42,112.4,-13.48,1.86
34,Victoria,75,BN,1551299400,94,5.28,115.24,24.0,3.11
35,Port Elizabeth,90,US,1551300802,69,39.31,-74.98,3.89,5.1
36,Sehithwa,20,BW,1551300819,49,-20.47,22.7,26.3,2.91
37,Maymyo,0,MM,1551300820,87,22.03,96.47,12.95,0.76
38,Saldanha,0,PT,1551300820,83,41.42,-6.55,4.52,0.76
39,Diu,0,IN,1551300820,33,20.71,70.98,16.92,3.66
40,Carnarvon,24,ZA,1551300820,27,-30.97,22.13,16.8,4.31
41,Khatanga,64,RU,1551300821,66,71.98,102.47,-22.98,3.91
42,Busselton,0,AU,1551300607,45,-33.64,115.35,19.44,6.26
43,Atuona,32,PF,1551300767,100,-9.8,-139.03,27.05,2.31
44,Majene,36,ID,1551300822,99,-3.54,118.97,27.7,0.26
45,Roald,75,NO,1551300603,80,62.58,6.12,5.0,7.2
46,Portland,90,US,1551300624,64,45.52,-122.67,2.22,8.7
47,Nikolskoye,75,RU,1551300645,80,59.7,30.79,2.22,5.0
48,Airai,56,TL,1551300763,93,-8.93,125.41,21.1,0.71
49,Cervo,40,BR,1551297600,94,-22.19,-46.24,23.0,1.0
50,Ormara,12,PK,1551300824,87,25.21,64.64,19.8,3.91
51,Mataura,88,NZ,1551300608,74,-46.19,168.86,11.11,4.02
52,Risod,0,IN,1551300824,32,19.98,76.79,18.57,5.06
53,Norman Wells,75,CA,1551297600,67,65.28,-126.83,-6.0,3.1
54,Bredasdorp,48,ZA,1551300463,59,-34.53,20.04,18.33,7.7
55,Ostrovnoy,88,RU,1551300825,88,68.05,39.51,-6.78,5.56
56,Carutapera,92,BR,1551300829,88,-1.2,-46.02,25.95,3.16
57,Sinnamary,92,GF,1551300829,89,5.38,-52.96,26.97,5.91
58,Sao Joao da Barra,75,BR,1551297600,66,-21.64,-41.05,30.0,7.2
59,Vila Franca do Campo,75,PT,1551300673,100,37.72,-25.43,16.0,6.2
60,Brooks,0,CA,1551300830,82,50.57,-111.89,-8.23,3.56
61,Saint George,40,GR,1551297000,80,39.45,22.34,5.0,0.96
62,Jamestown,0,AU,1551300552,66,-33.21,138.6,18.2,3.91
63,Leningradskiy,0,RU,1551300831,80,69.38,178.42,-9.38,6.51
